County,Low birthweight
Alamance County,0.09
Alexander County,0.085
Alleghany County,0.08
Anson County,0.08
Ashe County,0.075
Avery County,0.095
Beaufort County,0.115
Bertie County,0.1
Bladen County,0.09
Brunswick County,0.085
Buncombe County,0.08
Burke County,0.095
Cabarrus County,0.105
Caldwell County,0.115
Camden County,0.13
Carteret County,0.115
Caswell County,0.1
Catawba County,0.09
Chatham County,0.08
Cherokee County,0.08
Chowan County,0.08
Clay County,0.08
Cleveland County,0.08
Columbus County,0.085
Craven County,0.09
Cumberland County,0.09
Currituck County,0.09
Dare County,0.085
Davidson County,0.08
Davie County,0.075
Duplin County,0.07
Durham County,0.085
Edgecombe County,0.1
Forsyth County,0.095
Franklin County,0.09
Gaston County,0.085
Gates County,0.08
Graham County,0.09
Granville County,0.1
Greene County,0.11
Guilford County,0.12
Halifax County,0.09
Harnett County,0.065
Haywood County,0.085
Henderson County,0.1
Hertford County,0.11
Hoke County,0.12
Hyde County,0.105
Iredell County,0.085
Jackson County,0.09
Johnston County,0.1
Jones County,0.085
Lee County,0.07
Lenoir County,0.07
Lincoln County,0.07
Macon County,0.085
Madison County,0.1
Martin County,0.09
McDowell County,0.08
Mecklenburg County,0.08
Mitchell County,0.08
Montgomery County,0.085
Moore County,0.09
Nash County,0.11
New Hanover County,0.125
Northampton County,0.11
Onslow County,0.1
Orange County,0.095
Pamlico County,0.09
Pasquotank County,0.095
Pender County,0.1
Perquimans County,0.105
Person County,0.105
Pitt County,0.09
Polk County,0.085
Randolph County,0.09
Richmond County,0.09
Robeson County,0.105
Rockingham County,0.115
Rowan County,0.105
Rutherford County,0.095
Sampson County,0.11
Scotland County,0.13
Stanly County,0.11
Stokes County,0.09
Surry County,0.09
Swain County,0.095
Transylvania County,0.085
Tyrrell County,0.07
Union County,0.1
Vance County,0.125
Wake County,0.105
Warren County,0.09
Washington County,0.09
Watauga County,0.09
Wayne County,0.09
Wilkes County,0.09
Wilson County,0.08
Yadkin County,0.07
Yancey County,0.075
